business_status,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,price_level,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Stop & Shop,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106885093725842393551"">miguel bisono</a>'], 'photo_reference': 'AW30NDzS1hbKpOCc59XHKfxYZmcvJkWz9n_NF5AFzQpGiYA3FXlI7eytt29B0rRknXmBhC94PR-bFKUbthgH65TJ8UD9mI1npgoyXShLBljAXljIInjuWw_dm22tS8RNigiTr07YIvnxPcAYn_pQqtr43PpuueErv2U7172vU7-7I3Ejv3I', 'width': 4032}]",ChIJP-Hw3LiMwokRysU44VJyISU,4.3,ChIJP-Hw3LiMwokRysU44VJyISU,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",1875.0,"2136 Bartow Avenue, The Bronx",40.8687666,-73.8255501,40.8699379302915,-73.82430766970849,40.86723996970851,-73.82700563029151,True,"V59F+GQ New York, NY, USA",87G8V59F+GQ,2.0,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Food Universe Marketplace,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106885093725842393551"">miguel bisono</a>'], 'photo_reference': 'AW30NDxHN_fOPkV_Kuk3uCFSlFnI_kyKdJeC5nVpg0n8tgH1I02rBfOBZV-1PZD7NmtE6fkTHNLQXaQqsaUyKvRqCy-hDt1RF3N-epGuTeXqX3nAxe4L7T35Dn-SB6lKGPR4ecfsw6IJeO_387YAcnd1Z9yo3T6Xtgt8Hz8uGy2ok7xFdNY', 'width': 3024}]",ChIJV6XmRriMwokRiPU7wbmVQ8Y,3.7,ChIJV6XmRriMwokRiPU7wbmVQ8Y,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",167.0,"2061 Bartow Avenue, The Bronx",40.8706068,-73.8284436,40.8719616802915,-73.8270340197085,40.8692637197085,-73.82973198029151,True,"V5CC+6J New York, NY, USA",87G8V5CC+6J,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,CO-OP CITY AFRICAN MARKET Inc.,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102211671637122266639"">CO-OP CITY AFRICAN MARKET Inc.</a>'], 'photo_reference': 'AW30NDxUCYUcm-tfie5YtSWk33gestCncE4eMek7jIvYjl0OdQ3w2sqX6r6wFt6rKNCMqDMjnMlL522-3W-LsYPfoHs4-DFVZ2QfrEC5l6JJG9fXQDnLQM-LM9ookmK4fv5TBXCAnW92B1o-FH4GUEUclI0nP2bvaEfbezdk8l4RgMckUcql', 'width': 1905}]",ChIJq6qqqk7zwokRfn3yV4h30ck,4.3,ChIJq6qqqk7zwokRfn3yV4h30ck,GOOGLE,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",223.0,"2829 Edson Avenue, The Bronx",40.8686239,-73.83377709999999,40.8699271802915,-73.83252901970849,40.8672292197085,-73.8352269802915,True,"V598+CF New York, NY, USA",87G8V598+CF,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,ShopRite of Pelham Parkway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118442683662586580223"">ShopRite of Pelham Parkway</a>'], 'photo_reference': 'AW30NDygI-YadSZ-8V1WpXd6Cy72k894X4b1KXUh_dFL8MiQOrKNB-nkpyGfCBf_Jww-NRFjcvyMi4CzqPggS46IdnSq23pz5waqBgIXsuBfdrxHuE8_-rWeO_WdO4G40jFzpWq8ISXnoLAhe6yG8z__sWfPpnhFwqJ5WBBoaWwQVwwT1IXZ', 'width': 4032}]",ChIJGVJbTCCNwokRty8PdvKTVWY,4.3,ChIJGVJbTCCNwokRty8PdvKTVWY,GOOGLE,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']",4009.0,"847 Pelham Parkway, Pelham",40.8917825,-73.8206505,40.8930762802915,-73.81923611970849,40.8903783197085,-73.8219340802915,True,"V5RH+PP Pelham, Village of Pelham, NY, USA",87G8V5RH+PP,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,CTown Supermarkets,"[{'height': 453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111466239443584199667"">CTown Supermarkets</a>'], 'photo_reference': 'AW30NDxMCwmaRBWOK26tWQELxz-_D-cFVH_cSbFRamd6wkq_408DFbrJhiX_PUnj30gzCv2hhA_D4_W4X3_IJgfiQ9wVQVQgnJ-_P62MvHnppLcBZxVauSHhl8weAcsctrfEzf6CqRFs2fAK7iD0PEnRSP_430a_K5zsUBXqS4vtcfXAKorS', 'width': 806}]",ChIJ14FI7dCMwokRLaKrnOVCze4,3.5,ChIJ14FI7dCMwokRLaKrnOVCze4,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",233.0,"4008 Boston Road, The Bronx",40.8837097,-73.8326278,40.8851500302915,-73.8313239197085,40.8824520697085,-73.8340218802915,True,"V5M8+FW New York, NY, USA",87G8V5M8+FW,2.0,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,SY Grace West Indian Supermarket,"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106539425771327580991"">SY Grace West Indian Supermarket</a>'], 'photo_reference': 'AW30NDw_GdVBQvGjsC99C--4o74LK9TIdE7CgMaB2_0p4CdnJvBdzqbgu6YcwfaM3QklDsg2hbkesSNvF2hMpBro161qj3rbML4wET7EPzYC6xvMm1zJ5wk03vUB879ZenBYc3ysnNr4N5ntXJXlCumddGKIKZjnJGWaD1TGaidBM0t9Lzw8', 'width': 2048}]",ChIJadIYX9CMwokRPda1I5Eliqk,4.4,ChIJadIYX9CMwokRPda1I5Eliqk,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",740.0,"4018b Boston Road, The Bronx",40.88386129999999,-73.8318808,40.88529438029149,-73.8305526197085,40.8825964197085,-73.8332505802915,True,"V5M9+G6 The Bronx, NY, USA",87G8V5M9+G6,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Key Food Supermarkets,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105535836831712617974"">Michael Mahger.</a>'], 'photo_reference': 'AW30NDw_lMoSWlToFoVkdSmjTVgT6M61umMATFd8QP40iu0RowLTytbfEYvNovxYSOR9WR07FmonJRxk6YTAVNtLt8g_v3t6wU6-s9mNuCNbFjRDgK4vxIMVGdWRQaEw_-VPPAuRnq5QB6g-Tzgn_3zdithtq5yISbLAX_wqH-5ISuLstGmG', 'width': 2252}]",ChIJlQj-_r7zwokRQJWjA_5jd4I,3.6,ChIJlQj-_r7zwokRQJWjA_5jd4I,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",410.0,"540 West 235th Street, The Bronx",40.8854373,-73.90924559999999,40.88682868029149,-73.9078788697085,40.8841307197085,-73.9105768302915,True,"V3PR+58 New York, NY, USA",87G8V3PR+58,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Stop & Shop,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101930273190528413447"">Keivan Kahen</a>'], 'photo_reference': 'AW30NDwycbtqAWCwbKqpFgPqHfWWTb6VF3E6yPof49PHoQEzZAhMFy5u0URnTVi2QC_BUxhMn0rRitchYmL7k5t2dqX6g4jFZuTYnMrmBBqaYVT5jAr_ux4noWQovhSKA7-y1QkKXWelSYzTNbLcvyIqtJAVMQ2pkl4xjSJ5vtpB4ucEJ0o5', 'width': 4032}]",ChIJXXGYXr3zwokRJCmkvKIh6O0,4.2,ChIJXXGYXr3zwokRJCmkvKIh6O0,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",2514.0,"5716 Broadway, The Bronx",40.8820633,-73.9020583,40.8834414302915,-73.90077511970848,40.8807434697085,-73.9034730802915,True,"V3JX+R5 New York, NY, USA",87G8V3JX+R5,2.0,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Garden Gourmet Market - Supermarket,"[{'height': 1224, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109926132130997375395"">Alexa Campos</a>'], 'photo_reference': 'AW30NDy3QIpbyTLDuRwp43hAkcOV5VwWFTXtJ0FN5caxb4HoHK6hdEAU7b_FjNi6NJ9Aic175WmFBN3XnjgOJkZriBZv6eSEHMXX8OoNPecN8dCwQwlJy8s02B88nnMszJ2xa47Dl3OECwLy520dRCJLyvOZFt6fCqkJzcSIN45F-uPCinWW', 'width': 1632}]",ChIJcbLfzJfzwokRqGo5ocF2HXg,4.5,ChIJcbLfzJfzwokRqGo5ocF2HXg,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1800.0,"5665 Broadway, The Bronx",40.88103719999999,-73.9035329,40.8824523802915,-73.90204466970849,40.8797544197085,-73.9047426302915,True,"V3JW+CH New York, NY, USA",87G8V3JW+CH,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Key Food Supermarkets,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105535836831712617974"">Michael Mahger.</a>'], 'photo_reference': 'AW30NDx7d4K5dRv3demD_ZcguUErgTwTwI2TelUe0sql6Xp5yhUAnY6Z-d7d7EP-u5n9UTKK4MT8r3fbnhy-_2QNssa5N_r-Yf_5y0LlvJkBaaLmgSWq64-QK0pt057XCVS5JTBeTq85RkL9FOF5XaAi38TbZbrtyvKhkFUn9ZEzJ8mAhmam', 'width': 2252}]",ChIJlQj-_r7zwokRQJWjA_5jd4I,3.6,ChIJlQj-_r7zwokRQJWjA_5jd4I,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",410.0,"540 West 235th Street, The Bronx",40.8854373,-73.90924559999999,40.88682868029149,-73.9078788697085,40.8841307197085,-73.9105768302915,True,"V3PR+58 New York, NY, USA",87G8V3PR+58,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,CTown Supermarkets,"[{'height': 453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107683456239119410428"">CTown Supermarkets</a>'], 'photo_reference': 'AW30NDzcjzVkH2UHC0cZz9W9hC4V9Ne7YwNnBZjBh1HcA7c3HKkW-kbQH3LVhPvKPWwKJ7rW4WOsfaDNWt8jM-kS-UjaMkKEyv4HBgfOplIAoLNL5juMurQyowjaikNvWspdPhUlBZb_lXh1EBOohFCRWidNuKluF6n3iIPELvUB6mm3V_pj', 'width': 806}]",ChIJwYSxtpPzwokR5NVNLPMDrgc,3.7,ChIJwYSxtpPzwokR5NVNLPMDrgc,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",270.0,"5249 Broadway, The Bronx",40.8758429,-73.90871369999999,40.87707533029151,-73.9072571197085,40.87437736970851,-73.90995508029151,True,"V3GR+8G The Bronx, NY, USA",87G8V3GR+8G,2.0,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Food Dynasty Supermarkets,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108739809479637536000"">Evan Rival</a>'], 'photo_reference': 'AW30NDxLp4vBbdIfvOKESkOUhvsBwtN01ANWgSYoSkgMYbGYEDsJpWJ4Hw-G3_lvYmWvAanD_LW8LsTZhtC1P5Dx71G14ye3-WQ5enmw1zFZjpdyYe4UG34i9g1P0ffPe_RUjctQeT-SWPx2VYqmlStL71KpPXJAsYYBNOF0U8hpjyZC0rKm', 'width': 3024}]",ChIJfbmVCqHzwokR3O-6WaX-Pos,3.7,ChIJfbmVCqHzwokR3O-6WaX-Pos,GOOGLE,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",329.0,"50 Van Cortlandt Avenue West, The Bronx",40.8828954,-73.8930355,40.8842263802915,-73.8916022697085,40.8815284197085,-73.8943002302915,True,"V4M4+5Q New York, NY, USA",87G8V4M4+5Q,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Foodtown of Riverdale,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115140914191400742653"">RAFIKI RAFIKIN</a>'], 'photo_reference': 'AW30NDwWck48U-GHBOHntkSrR3yJXlgK0MQL_QPJIm8WZftbjdwXka192FuYiPf0bJ7krwj3vSAtPxPnc9qYhlUijETohpAN5ZKbMhTzlPfhoYTvZY8yRJXsb1_bHLFZDtrPySogu8Mke4LgmfQMgz6rGBSNhrXG7QZ-RNXZf1aUY5Wg6K6v', 'width': 1285}]",ChIJI-ezv5bzwokRR9-2AZN28H8,4.3,ChIJI-ezv5bzwokRR9-2AZN28H8,GOOGLE,"['grocery_or_supermarket', 'florist', 'supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1706.0,"5555 Broadway, The Bronx",40.87862130000001,-73.9053354,40.87991993029151,-73.9038594197085,40.87722196970851,-73.9065573802915,True,"V3HV+CV New York, NY, USA",87G8V3HV+CV,,,supermarket
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,CTown Supermarkets,"[{'height': 453, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118180041532281578189"">CTown Supermarkets</a>'], 'photo_reference': 'AW30NDxwaJGC77DDwg5J9UvYe_u_pqTPpVwGNQVgkxmCbC_buZZp_s0kk9eFFgZDx_P2t1xCXnXVuJY-wS93xmUCPZsFT72_9sNI4Zl7V-UxZ8Up-itDG5Bt3SICMGRLRLxvhhsa-fUk4FDH2hxy44pA5OVd5OE9uSYV9kBImZz3PQjovtvb', 'width': 806}]",ChIJdcEIkJDzwokR8zlk7hZkVaQ,3.9,ChIJdcEIkJDzwokR8zlk7hZkVaQ,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",233.0,"2891 Sedgwick Avenue, The Bronx",40.8749773,-73.9016336,40.8762609802915,-73.9001358197085,40.8735630197085,-73.9028337802915,True,"V3FX+X8 New York, NY, USA",87G8V3FX+X8,2.0,,supermarket
