Name,Price,Rating,Reviews,Borough,Neighborhood,Address,Zipcode,Latitude,Longitude,Category
McDonald's,1.0,3.9,2360.0,Bronx,Northeast Bronx,"3550 Conner Street, The Bronx",10475.0,40.8856363,-73.8268396,restaurant
Dunkin',1.0,4.2,422.0,Bronx,Northeast Bronx,"4090 Boston Road, The Bronx",10475.0,40.885392,-73.8281186,restaurant
Mario's Pizzeria,2.0,4.6,255.0,Bronx,Northeast Bronx,"3824 Dyre Avenue, The Bronx",10466.0,40.8886277,-73.8310886,restaurant
bp,,2.9,8.0,Bronx,Northeast Bronx,"3500 Conner Street, The Bronx",10475.0,40.8849726,-73.8265412,restaurant
Jake’s Steakhouse,3.0,4.5,881.0,Bronx,Kingsbridge and Riverdale,"6031 Broadway, The Bronx",10471.0,40.8917049,-73.8976496,restaurant
Santa Fe,1.0,4.3,470.0,Bronx,Kingsbridge and Riverdale,"6025 Broadway, The Bronx",10471.0,40.89152439999999,-73.89778249999999,restaurant
Burger King,1.0,3.9,1162.0,Bronx,Kingsbridge and Riverdale,"6007 Broadway, The Bronx",10471.0,40.8912195,-73.897881,restaurant
Claudy's Kitchen,1.0,4.6,198.0,Bronx,Kingsbridge and Riverdale,"5981 Broadway, The Bronx",10471.0,40.889765,-73.898532,restaurant
Dunkin',1.0,3.8,108.0,Bronx,Kingsbridge and Riverdale,"5987 Broadway #89, The Bronx",10471.0,40.8901617,-73.898399,restaurant
Tortoise & Hare,2.0,4.7,442.0,Bronx,Kingsbridge and Riverdale,"6115 Broadway, The Bronx",10471.0,40.8941853,-73.8967473,restaurant
Majestic gourmet deli,,4.3,13.0,Bronx,Kingsbridge and Riverdale,"6119 Broadway, The Bronx",10471.0,40.8941662,-73.8966708,restaurant
The Café at Wave Hill,2.0,4.3,195.0,Bronx,Kingsbridge and Riverdale,"675 West 249th Street, The Bronx",10471.0,40.900133,-73.9125478,restaurant
Asian Tokyo,2.0,3.8,29.0,Bronx,Kingsbridge and Riverdale,"4685 Manhattan College Parkway, The Bronx",10471.0,40.8910527,-73.8982516,restaurant
Kai Fan,2.0,4.2,136.0,Bronx,Kingsbridge and Riverdale,"3717 Riverdale Avenue, The Bronx",10463.0,40.8872936,-73.9074783,restaurant
Blackstone Bar & Grill,2.0,4.4,302.0,Bronx,Kingsbridge and Riverdale,"3713 Riverdale Avenue, The Bronx",10463.0,40.8871702,-73.9073633,restaurant
Tiny's Diner,1.0,4.0,223.0,Bronx,Kingsbridge and Riverdale,"3603 Riverdale Avenue, The Bronx",10463.0,40.88673429999999,-73.9073063,restaurant
Yo-Burger,1.0,4.5,817.0,Bronx,Kingsbridge and Riverdale,"3726 Riverdale Avenue, The Bronx",10463.0,40.887428,-73.9069516,restaurant
Tin Marín,2.0,4.5,855.0,Bronx,Kingsbridge and Riverdale,"3708 Riverdale Avenue, The Bronx",10463.0,40.8870397,-73.9068549,restaurant
Greek Express,1.0,4.4,296.0,Bronx,Kingsbridge and Riverdale,"3733 Riverdale Avenue, The Bronx",10463.0,40.8874702,-73.90753769999999,restaurant
An Beal Bocht Cafe,2.0,4.6,534.0,Bronx,Kingsbridge and Riverdale,"445 West 238th Street, The Bronx",10463.0,40.887375,-73.90495299999999,restaurant
Bronx Alehouse,2.0,4.5,2029.0,Bronx,Kingsbridge and Riverdale,"216 West 238th Street, The Bronx",10463.0,40.8846317,-73.899705,restaurant
Goodfellas Riverdale 🍕,2.0,3.8,171.0,Bronx,Kingsbridge and Riverdale,"3661 Waldo Avenue, The Bronx",10463.0,40.8870265,-73.9043875,restaurant
Riverdale Diner,2.0,4.2,2032.0,Bronx,Kingsbridge and Riverdale,"3657 Kingsbridge Avenue, The Bronx",10463.0,40.88511219999999,-73.9013562,restaurant
Domino's Pizza,1.0,2.4,567.0,Bronx,Kingsbridge and Riverdale,"3611 Kingsbridge Avenue, The Bronx",10463.0,40.8843065,-73.90238310000001,restaurant
Corner Cafe & Bakery,1.0,4.4,164.0,Bronx,Kingsbridge and Riverdale,"3718 Riverdale Avenue, The Bronx",10463.0,40.8872663,-73.9069201,restaurant
Salvatore's,2.0,4.4,656.0,Bronx,Kingsbridge and Riverdale,"3738 Riverdale Avenue, The Bronx",10463.0,40.88763120000001,-73.9069547,restaurant
Broadway Joe's Pizza,1.0,4.5,247.0,Bronx,Kingsbridge and Riverdale,"5985 Broadway, The Bronx",10471.0,40.8900398,-73.89838519999999,restaurant
Leche y Miel Restaurant,1.0,4.5,462.0,Bronx,Kingsbridge and Riverdale,"5761 Broadway, The Bronx",10463.0,40.8837324,-73.9017926,restaurant
Kingsbridge Social Club,2.0,4.7,669.0,Bronx,Kingsbridge and Riverdale,"3625 Kingsbridge Avenue, The Bronx",10463.0,40.884581,-73.901999,restaurant
Buffalo Wild Wings,2.0,3.7,1934.0,Bronx,Kingsbridge and Riverdale,"193 West 237th Street, The Bronx",10463.0,40.8844207,-73.9003398,restaurant
Chipotle Mexican Grill,1.0,3.7,835.0,Bronx,Kingsbridge and Riverdale,"193 West 237th Street, The Bronx",10463.0,40.884442,-73.9003185,restaurant
Smashburger,2.0,4.1,853.0,Bronx,Kingsbridge and Riverdale,"193 West 237th Street, The Bronx",10463.0,40.88446629999999,-73.9003089,restaurant
IHOP,1.0,4.2,2485.0,Bronx,Kingsbridge and Riverdale,"5645 Broadway, The Bronx",10463.0,40.88042710000001,-73.9041769,restaurant
Playoffs Sports Lounge,2.0,3.9,717.0,Bronx,Kingsbridge and Riverdale,"5668 Broadway, The Bronx",10463.0,40.8806722,-73.902624,restaurant
Malecon,2.0,4.1,1331.0,Bronx,Kingsbridge and Riverdale,"5592 Broadway, The Bronx",10463.0,40.8792538,-73.90422029999999,restaurant
Subway,1.0,3.2,34.0,Bronx,Kingsbridge and Riverdale,"5549 Broadway, The Bronx",10463.0,40.878465,-73.9055176,restaurant
Papa Johns Pizza,1.0,3.5,157.0,Bronx,Kingsbridge and Riverdale,"161 West 231st Street, The Bronx",10463.0,40.8784669,-73.9029973,restaurant
Broadway Pizza & Pasta,1.0,4.0,448.0,Bronx,Kingsbridge and Riverdale,"192 West 231st Street #5618, The Bronx",10463.0,40.87868799999999,-73.904612,restaurant
El Nuevo Sabor,1.0,4.3,108.0,Manhattan,Inwood and Washington Heights,"4032 10th Avenue, New York",10034.0,40.8694104,-73.9156354,restaurant
Curry Spot,2.0,3.5,132.0,Bronx,Northeast Bronx,"4268 Katonah Avenue, The Bronx",10470.0,40.8977389,-73.8669932,restaurant
Dunkin',1.0,3.8,178.0,Bronx,Northeast Bronx,"In Mobil Gas Station, 4201 Webster Avenue, The Bronx",10470.0,40.8960331,-73.8635783,restaurant
Hideout Tavern,,3.7,26.0,Bronx,Northeast Bronx,"143 East 233rd Street, The Bronx",10470.0,40.89676239999999,-73.8707435,restaurant
Rambling House,2.0,4.5,710.0,Bronx,Northeast Bronx,"4292 Katonah Avenue, The Bronx",10470.0,40.8984839,-73.8670796,restaurant
Carifesta Restaurant,,4.2,133.0,Bronx,Northeast Bronx,"4251 White Plains Road, The Bronx",10466.0,40.8947879,-73.8568142,restaurant
Katonah Pizza & Pasta,1.0,4.4,296.0,Bronx,Northeast Bronx,"4307 Katonah Avenue, The Bronx",10470.0,40.8988721,-73.8675978,restaurant
Bella Napoli II,1.0,4.1,51.0,Bronx,Northeast Bronx,"4235 Katonah Avenue, The Bronx",10470.0,40.896784,-73.86731999999999,restaurant
Wonderful,1.0,3.9,75.0,Bronx,Northeast Bronx,"518 East 240th Street, The Bronx",10470.0,40.9009908,-73.8619154,restaurant
Linda's Pizza,1.0,4.5,69.0,Bronx,Northeast Bronx,"4336 Katonah Avenue, The Bronx",10470.0,40.8999101,-73.867413,restaurant
Bella Napoli Pizzeria,1.0,4.3,231.0,Bronx,Northeast Bronx,"524 East 240th Street, The Bronx",10470.0,40.900934,-73.86180700000001,restaurant
The Kitchen,,3.9,180.0,Bronx,Northeast Bronx,"4330 Katonah Avenue, The Bronx",10470.0,40.8997757,-73.8674249,restaurant
Subway,1.0,4.0,147.0,Bronx,Bronx Park and Fordham,"3422 Jerome Avenue, The Bronx",10467.0,40.8811043,-73.8826993,restaurant
Crown Chicken Burger & pizza,,3.4,38.0,Bronx,Bronx Park and Fordham,"332 East Gun Hill Road, The Bronx",10467.0,40.878659,-73.8733053,restaurant
Golden Krust Caribbean Restaurant,1.0,3.6,100.0,Bronx,Bronx Park and Fordham,"135 East Gun Hill Road, The Bronx",10467.0,40.8816482,-73.87904859999999,restaurant
5 Star Pizza Pasta & Burgers,2.0,4.1,97.0,Bronx,Bronx Park and Fordham,"295 East Gun Hill Road, The Bronx",10467.0,40.8793234,-73.8744564,restaurant
Queen of Tacos,1.0,4.1,406.0,Bronx,Bronx Park and Fordham,"9 East Mosholu Parkway North, The Bronx",10467.0,40.88024029999999,-73.8834031,restaurant
Burger King,1.0,3.7,781.0,Bronx,Bronx Park and Fordham,"3440 Jerome Avenue, The Bronx",10467.0,40.8813179,-73.882378,restaurant
Popeyes Louisiana Kitchen,1.0,3.8,830.0,Bronx,Bronx Park and Fordham,"3411 Jerome Avenue, The Bronx",10467.0,40.8809805,-73.8836382,restaurant
Dunkin',1.0,3.9,448.0,Bronx,Bronx Park and Fordham,"47 East Gun Hill Road, The Bronx",10467.0,40.8823339,-73.88017769999999,restaurant
El Valle Restaurant,1.0,3.4,278.0,Bronx,Bronx Park and Fordham,"3535 Jerome Avenue, The Bronx",10467.0,40.882734,-73.881726,restaurant
EG Pizza Corp,1.0,4.4,175.0,Bronx,Bronx Park and Fordham,"7 East 208th Street, The Bronx",10467.0,40.880756,-73.8830144,restaurant
Sal's Pizzeria,1.0,4.0,284.0,Bronx,Bronx Park and Fordham,"3167 Bainbridge Avenue, The Bronx",10467.0,40.8752255,-73.8798431,restaurant
Rocatone Seafood Restaurant,1.0,4.2,773.0,Bronx,Bronx Park and Fordham,"3740 White Plains Road, The Bronx",10467.0,40.8825785,-73.86308650000001,restaurant
Dominican Valle,1.0,3.1,126.0,Bronx,Bronx Park and Fordham,"3815 White Plains Road, The Bronx",10467.0,40.88411039999999,-73.86283619999999,restaurant
Papa Johns Pizza,1.0,3.4,288.0,Bronx,Northeast Bronx,"3929 White Plains Road, The Bronx",10466.0,40.8866482,-73.8614058,restaurant
Subway,1.0,2.8,38.0,Bronx,Northeast Bronx,"3976 White Plains Road, The Bronx",10466.0,40.887857,-73.860122,restaurant
Good Taste,1.0,4.0,155.0,Bronx,Northeast Bronx,"3416 Boston Road, The Bronx",10469.0,40.8755663,-73.8500091,restaurant
Domino's Pizza,1.0,2.5,468.0,Bronx,Bronx Park and Fordham,"3869 White Plains Road, The Bronx",10467.0,40.8855132,-73.8620758,restaurant
Golden Krust Caribbean Restaurant,1.0,4.0,301.0,Bronx,Bronx Park and Fordham,"3812 White Plains Road, The Bronx",10467.0,40.88393699999999,-73.862393,restaurant
D'Angelo's Pizza,2.0,3.9,164.0,Bronx,Northeast Bronx,"902 East Gun Hill Road, The Bronx",10469.0,40.875207,-73.8603578,restaurant
Dream Station,1.0,3.7,76.0,Bronx,Bronx Park and Fordham,"3809 White Plains Road, The Bronx",10467.0,40.8839206,-73.8629611,restaurant
Jerry's Pizza,1.0,4.7,218.0,Bronx,Northeast Bronx,"3430 Boston Road, The Bronx",10469.0,40.87587620000001,-73.84934799999999,restaurant
Red Lobster,2.0,3.9,2552.0,Bronx,Northeast Bronx,"BAY PLAZA SHOPPING CENTER, 2090 Bartow Avenue, The Bronx",10475.0,40.86906,-73.82699,restaurant
Panera Bread,2.0,3.8,1035.0,Bronx,Northeast Bronx,"340 Baychester Avenue, The Bronx",10475.0,40.8678663,-73.8278447,restaurant
Popeyes Louisiana Kitchen,1.0,3.8,1330.0,Bronx,Northeast Bronx,"360 Baychester Avenue, The Bronx",10475.0,40.8686099,-73.83112489999999,restaurant
Olive Garden Italian Restaurant,2.0,4.0,2626.0,Bronx,Northeast Bronx,"200 Baychester Avenue Suite 208A, The Bronx",10475.0,40.8644993,-73.8277646,restaurant
Sangria Cafe,2.0,4.1,1218.0,Bronx,Northeast Bronx,"2085 Bartow Avenue, The Bronx",10475.0,40.86976070000001,-73.8277042,restaurant
Charleys Cheesesteaks,1.0,4.4,401.0,Bronx,Northeast Bronx,"200 Baychester Avenue, The Bronx",10475.0,40.8636536,-73.8271498,restaurant
Sbarro,1.0,3.9,53.0,Bronx,Northeast Bronx,"200 Baychester Avenue, The Bronx",10475.0,40.864143,-73.82679999999999,restaurant
Chicken Now,2.0,4.3,136.0,Bronx,Northeast Bronx,"Mall at Bay Plaza, 200 Baychester Avenue FF3, 200 Baychester Avenue, The Bronx",10475.0,40.8636226,-73.8270983,restaurant
Moe's Southwest Grill,1.0,4.2,319.0,Bronx,Northeast Bronx,"200 Baychester Avenue, The Bronx",10475.0,40.864084,-73.82668939999999,restaurant
Dairy Queen Grill & Chill,1.0,3.9,143.0,Bronx,Northeast Bronx,"200 Baychester Avenue, The Bronx",10475.0,40.8640547,-73.8265701,restaurant
Burger King,1.0,3.6,497.0,Bronx,Northeast Bronx,"2200 Bartow Avenue, The Bronx",10475.0,40.8673426,-73.82509379999999,restaurant
Liberty Diner,1.0,4.5,430.0,Bronx,Pelham and Throgs Neck,"2059 Williamsbridge Road, The Bronx",10461.0,40.85518640000001,-73.8555749,restaurant
Li's Kitchen,1.0,4.3,135.0,Bronx,Northeast Bronx,"2515 Williamsbridge Road, The Bronx",10469.0,40.8634698,-73.8585612,restaurant
Kiraku Japanese Restaurant,2.0,4.4,271.0,Bronx,Pelham and Throgs Neck,"1948 Williamsbridge Road, The Bronx",10461.0,40.853466,-73.8534395,restaurant
Sammy's Fish Box,2.0,4.3,8907.0,Bronx,Pelham and Throgs Neck,"41 City Island Avenue, The Bronx",10464.0,40.8390445,-73.7837189,restaurant
The Original Crab Shanty,2.0,4.3,4013.0,Bronx,Pelham and Throgs Neck,"361 City Island Avenue, The Bronx",10464.0,40.848634,-73.787313,restaurant
Sea Shore Restaurant,2.0,4.3,2907.0,Bronx,Pelham and Throgs Neck,"591 City Island Avenue, The Bronx",10464.0,40.8541999,-73.7909125,restaurant
Ohana Japanese Hibachi Seafood & Steakhouse,2.0,4.3,1313.0,Bronx,Pelham and Throgs Neck,"500 City Island Avenue, The Bronx",10464.0,40.8522191,-73.78895299999999,restaurant
Portofino Restaurant,2.0,4.2,470.0,Bronx,Pelham and Throgs Neck,"555 City Island Avenue, The Bronx",10464.0,40.85339440000001,-73.7902951,restaurant
Sammy's Shrimp Box,2.0,4.2,2931.0,Bronx,Pelham and Throgs Neck,"64 City Island Avenue, The Bronx",10464.0,40.83956939999999,-73.7834079,restaurant
Artie's Steak and Seafood Restaurant,2.0,4.4,1096.0,Bronx,Pelham and Throgs Neck,"394 City Island Avenue, The Bronx",10464.0,40.8496255,-73.7869572,restaurant
Seafood City,2.0,4.2,6731.0,Bronx,Pelham and Throgs Neck,"459 City Island Avenue, The Bronx",10464.0,40.8509321,-73.7896068,restaurant
City Island Diner,1.0,4.4,346.0,Bronx,Pelham and Throgs Neck,"304 City Island Avenue, The Bronx",10464.0,40.8472061,-73.7861654,restaurant
The Black Whale,2.0,4.5,395.0,Bronx,Pelham and Throgs Neck,"279 City Island Avenue, The Bronx",10464.0,40.8463447,-73.7863399,restaurant
City Island Yacht Club,,4.6,105.0,Bronx,Pelham and Throgs Neck,"63 Pilot Street, The Bronx",10464.0,40.8408098,-73.7871918,restaurant
Clipper Coffee,,4.9,108.0,Bronx,Pelham and Throgs Neck,"274 City Island Avenue, The Bronx",10464.0,40.846325,-73.7859788,restaurant
Anthony's Restaurant,,4.9,56.0,Bronx,Pelham and Throgs Neck,"273 City Island Avenue, The Bronx",10464.0,40.8462201,-73.78633780000001,restaurant
Little Frida's Eatery,,5.0,12.0,Bronx,Pelham and Throgs Neck,"415 City Island Avenue, The Bronx",10464.0,40.8500425,-73.78804199999999,restaurant
Caliente's,,4.0,109.0,Bronx,Pelham and Throgs Neck,"414 City Island Avenue, The Bronx",10464.0,40.85026329999999,-73.7874753,restaurant
Ray's Cafe And Restaurant,1.0,4.3,67.0,Bronx,Pelham and Throgs Neck,"205 City Island Avenue, The Bronx",10464.0,40.84404139999999,-73.7855178,restaurant
City island,2.0,4.6,22.0,Bronx,Pelham and Throgs Neck,"459 City Island Avenue, The Bronx",10464.0,40.85097899999999,-73.789635,restaurant
City Island Deli,1.0,4.2,142.0,Bronx,Pelham and Throgs Neck,"520 City Island Avenue, The Bronx",10464.0,40.85257259999999,-73.7891413,restaurant
Archie's Tap & Table,2.0,4.5,154.0,Bronx,Pelham and Throgs Neck,"536 City Island Avenue, The Bronx",10464.0,40.8531036,-73.7895395,restaurant
Scavello's On The Island,,4.5,396.0,Bronx,Pelham and Throgs Neck,"101 City Island Avenue, The Bronx",10464.0,40.8409383,-73.7844069,restaurant
Papa Johns Pizza,1.0,3.5,208.0,Bronx,Bronx Park and Fordham,"362 East 204th Street, The Bronx",10467.0,40.8716,-73.877584,restaurant
House Pizza,1.0,4.0,150.0,Bronx,Bronx Park and Fordham,"246 East 204th Street, The Bronx",10458.0,40.87404349999999,-73.88453299999999,restaurant
Choi Yuan,1.0,4.1,143.0,Bronx,Bronx Park and Fordham,"4 Bedford Park Boulevard, The Bronx",10468.0,40.8729239,-73.88915089999999,restaurant
Rose Flower,1.0,4.2,113.0,Bronx,Bronx Park and Fordham,"383 Bedford Park Boulevard, The Bronx",10458.0,40.8679951,-73.8838318,restaurant
National,1.0,4.2,275.0,Bronx,Bronx Park and Fordham,"8 Bedford Park Boulevard, The Bronx",10468.0,40.87291709999999,-73.88908119999999,restaurant
Dunkin',1.0,3.3,126.0,Bronx,Bronx Park and Fordham,"Bp Gas Station, 3059 Webster Avenue, The Bronx",10467.0,40.8703443,-73.87885,restaurant
Plato & Rumba,1.0,3.9,78.0,Bronx,Bronx Park and Fordham,"2958 Jerome Avenue, The Bronx",10468.0,40.8726266,-73.8895324,restaurant
La Rola,1.0,4.2,187.0,Bronx,Bronx Park and Fordham,"400 East 198th Street, The Bronx",10458.0,40.8661591,-73.8862333,restaurant
Villa Pizza Restaurant,1.0,4.0,45.0,Bronx,Bronx Park and Fordham,"3133 Villa Avenue, The Bronx",10468.0,40.8755506,-73.8876183,restaurant
Hudson Garden Grill,3.0,4.3,404.0,Bronx,Bronx Park and Fordham,"2900 Southern Boulevard, The Bronx",10458.0,40.8654358,-73.881548,restaurant
Subway,1.0,3.8,87.0,Bronx,Bronx Park and Fordham,"311 East 204th Street, The Bronx",10467.0,40.87284999999999,-73.8782524,restaurant
Domino's Pizza,1.0,2.7,350.0,Bronx,Bronx Park and Fordham,"315 East 204th Street, The Bronx",10467.0,40.8728802,-73.8781509,restaurant
Anbu Room,,4.2,59.0,Bronx,Bronx Park and Fordham,"2650 Briggs Avenue, The Bronx",10458.0,40.8651662,-73.8924679,restaurant
Lechonera El Fogon,,3.8,191.0,Bronx,Bronx Park and Fordham,"2641 Bainbridge Avenue, The Bronx",10458.0,40.8648175,-73.892218,restaurant
Crown Fried Chicken & Pizza,1.0,4.0,43.0,Bronx,Bronx Park and Fordham,"345 East 194th Street, The Bronx",10458.0,40.86410449999999,-73.8910545,restaurant
Garden Coffee Shop,1.0,4.4,91.0,Bronx,Bronx Park and Fordham,"2955 Webster Avenue, The Bronx",10458.0,40.8677423,-73.883476,restaurant
Mar Y Tierra,,3.8,276.0,Bronx,Bronx Park and Fordham,"3236 Bainbridge Avenue, The Bronx",10467.0,40.8766092,-73.8795049,restaurant
Three Sisters,,,,Bronx,Bronx Park and Fordham,"2605 Webster Avenue, The Bronx",10458.0,40.8631261,-73.89007529999999,restaurant
Webster Cafe & Diner,1.0,4.2,574.0,Bronx,Bronx Park and Fordham,"2873 Webster Avenue, The Bronx",10458.0,40.867338,-73.883899,restaurant
The Pine Tree Café,2.0,4.0,251.0,Bronx,Bronx Park and Fordham,"2900 Southern Boulevard, The Bronx",10458.0,40.8625861,-73.8804921,restaurant
Dallas BBQ Fordham Road,2.0,4.1,3349.0,Bronx,Bronx Park and Fordham,"218 West Fordham Road, The Bronx",10468.0,40.8620521,-73.9118134,restaurant
Taco's El Paisanito,1.0,4.3,172.0,Bronx,Bronx Park and Fordham,"202 West Fordham Road, The Bronx",10468.0,40.8623063,-73.9094131,restaurant
Kennedy Fried Chicken,,3.7,78.0,Bronx,Crotona and Tremont,"2280 Jerome Avenue, The Bronx",10453.0,40.85852869999999,-73.90352720000001,restaurant
Peking,,4.0,21.0,Bronx,Crotona and Tremont,"26 East 183rd Street, The Bronx",10453.0,40.8583848,-73.9031153,restaurant
Salsa Con Fuego,2.0,4.2,4848.0,Bronx,Bronx Park and Fordham,"2297 Cedar Avenue, The Bronx",10468.0,40.8623156,-73.91144609999999,restaurant
Chinese Gourmet,1.0,4.7,77.0,Bronx,Crotona and Tremont,"1809 Cedar Avenue, The Bronx",10453.0,40.8526175,-73.92007989999999,restaurant
Grandma's Pizza,1.0,3.9,87.0,Manhattan,Inwood and Washington Heights,"2551 Amsterdam Avenue, New York",10033.0,40.851462,-73.928232,restaurant
My Pizza,1.0,3.6,380.0,Bronx,Crotona and Tremont,"1723 University Avenue, The Bronx",10453.0,40.8497834,-73.91698319999999,restaurant
Empanadas RD,1.0,4.2,483.0,Bronx,Crotona and Tremont,"1971 University Avenue, The Bronx",10453.0,40.85445860000001,-73.9121115,restaurant
Caridad,1.0,3.8,394.0,Bronx,Crotona and Tremont,"2230 Grand Concourse, The Bronx",10457.0,40.856087,-73.900317,restaurant
Dunkin',1.0,3.9,463.0,Bronx,Bronx Park and Fordham,"2366 Grand Concourse, The Bronx",10458.0,40.859065,-73.8985233,restaurant
Subway,1.0,3.2,41.0,Bronx,Bronx Park and Fordham,"2432 Grand Concourse, The Bronx",10458.0,40.86073049999999,-73.897528,restaurant
Subway,1.0,2.9,46.0,Bronx,Bronx Park and Fordham,"2438 Jerome Avenue, The Bronx",10468.0,40.8622036,-73.9011211,restaurant
2 Bros Pizza,1.0,4.0,144.0,Bronx,Bronx Park and Fordham,"207 East Fordham Road, The Bronx",10458.0,40.8614691,-73.8972807,restaurant
Popeyes Louisiana Kitchen,1.0,3.8,642.0,Bronx,Bronx Park and Fordham,"215 East Fordham Road, The Bronx",10458.0,40.8625793,-73.8961669,restaurant
